Designator,Quantity,Value,Footprint,Manufacturer,MPN

"J8","1","MDT580M01001","MDT580M01001","Amphenol","MDT580M01001"
"C13, C24","2","10n","0402","AVX","04025G103ZAT2A"
"C14","1","100p","0805","AVX","08051A101JAT2A"
"C35, C47, C56, C58, C60, C63","6","10u","0603","AVX","06036D106MAT2A"
"R16, R36","2","1k","0402","BOURNS","CR0402-FX-1001GLF"
"J4","1","PJ-002AH","DC_SOCKET_PJ-002AH","CUI","PJ-002AH"
"D1","1","PDS760-13","PowerDI","DIODES INC.","PDS760-13"
"REC, RST, USR","3","TL3340AF160QG","TL3340AF160QG","E-SWITCH","TL3340AF160QG"
"IC5","1","FT232RQ","QFN-32","FTDI","FT232RQ-REEL"
"C10, C11","2","330u","KEMET_B","KEMET","T520B337M006ATE070"
"C15, C29, C64","3","47p","0402","KEMET","C0402C470J5GACTU"
"C16, C17, C18, C34","4","47u","0805","KEMET","C0805C476M9PACTU"
"C21, C22, C23","3","2u2","1206","KEMET","C1206C225J5RACTU"
"C31","1","100u","1206","KEMET","C1206C107M9PACTU"
"BOOT, LED1, NVME, PWR, USER","5","APT1608SGC","LED0603","KINGBRIGHT","APT1608SGC"
"F1","1","1206L450SLWR","","LITTELFUSE","1206L450SLWR"
"IC17","1","AT24CS01-STUM-T","SOT23-5","Microchip","AT24CS01-STUM-T"
"FAN","1","MX-22-23-2021","molex_2223-2021","Molex","22-23-2021"
"J5, J9","2","Molex 47346-0001","CON-Molex-047346-0001","Molex","473460001"
"C28, C32, C66","3","1u","0402","MULTICOMP","MC0402F105Z6R3CT"
"C41","1","47n","0402","MULTICOMP","MC0402X473K160CT"
"C1, C2, C3, C4, C55, C57, C62","7","4u7","0402","MURATA","GRM155R60J475ME87D"
"L2, L3","2","BLM18EG221SN1D","0603","MURATA","BLM18EG221SN1D"
"L4, L6","2","LQH32PN2R2NN0L","LQH32PN2R2NN0L","MURATA","LQH32PN2R2NN0L"
"L7, L8, L9, L10","4","BLM18SG121TN1D","0603","MURATA","BLM18SG121TN1D"
"IC12","1","74HC00PW,118","TSSOP-14","NEXPERIA","74HC00PW,118"
"IC6","1","PCA9517ADP,118","MSOP-8","NXP","PCA9517ADP,118"
"Q1","1","PMV32UP,215","SOT-23","NXP","PMV32UP,215"
"T1, T2, T3, T4, T5, T6","6","BSS138PW,115","SC70-3","NXP","BSS138PW,115"
"D2, D4, D13, D14, D15, D17","6","1N4148WS","SOD-323","ON SEMICONDUCTOR","1N4148WS"
"IC16","1","NCP380HSNAJAAT1G","TSOP-6","ON Semiconductor","NCP380HSNAJAAT1G"
"R1, R2, R3, R4, R7, R8, R9, R10","8","5R6","0402","Panasonic","ERJ2GEJ5R6X"
"R13, R15, R17, R19, R21, R39, R49, R56, R57, R58, R59, R60, R61, R62, R63, R65, R78, R80, R82, R98, R99, R103, R104, R105, R106, R107, R108, R109, R110, R132","30","0R","0402","Panasonic","ERJ2GE0R00X"
"R48","1","16k9","0402","Panasonic","ERA2AEB1692X"
"R51","1","909k","0402","Panasonic","ERJ2RKF9093X"
"R72, R76, R90, R93, R94, R95, R102, R112, R114, R115, R116, R131","12","10k","0402","PANASONIC","ERJ-2RKF1002X"
"BAT1","1","MS621FE-FL11E","MS621FE-FL11E","SEIKO INSTRUMENTS","MS621FE-FL11E"
"C25","1","4n7","0402","TDK","CGA2B3X7S2A472K050BB"
"C5, C6, C7, C8, C9, C12, C19, C26, C27, C30, C33, C36, C37, C38, C39, C40, C42, C43, C44, C45, C46, C48, C49, C50, C51, C52, C53, C54, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80","41","100n","0402","TDK","C1005X5R0J104K050BA"
"C59, C65, C67","3","2u2","0402","TDK","C1005X5R1A225K050BC"
"R46, R135","2","53k6","0402","TE CONECTIVITY","CPF0402B53K6E1"
"R50, R52","2","10k2","0402","TE CONECTIVITY","CPF0402B10K2E1"
"J2","1","2129320-3","2129320-3","TE Connectivity","2129320-3"
"M1","1","2309413-1","jetson-nano-connector","TE Connectivity","2309413-1"
"D3, D5, D8, D9, D10, D11, D12","7","TPD2E009DBZR","SOT-23s","TEXAS INSTRUMENTS","TPD2E009DBZR"
"D6, D7","2","TPD4E05U06","TPD4E05U06_PASS","TEXAS INSTRUMENTS","TPD4E05U06DQAR"
"IC1","1","TCA9548ARGER","VQFN-24","TEXAS INSTRUMENTS","TCA9548ARGER"
"IC10","1","TPS62823DLCT","TPS62823","TEXAS INSTRUMENTS","TPS62823DLCT"
"IC11","1","SN74LV1T125DCKR","SC70-5","Texas Instruments","SN74LV1T125DCKR"
"IC13","1","SN74LVC1G126DCKR","R-PDSO-G5","Texas Instruments","SN74LVC1G126DCKR"
"IC2, IC18","2","TPD8S009","SON-15","TEXAS INSTRUMENTS","TPD8S009DSMR"
"IC3","1","TPS54561QDPRRQ1","WSON-10_4x4","TEXAS INSTRUMENTS","TPS54561QDPRRQ1"
"IC4, IC15","2","TLV70018DCKT","SC70-5","TEXAS INSTRUMENTS","TLV70018DCKT"
"IC7","1","HD3SS3220","RNH0030A","Texas Instruments","HD3SS3220RNHT"
"IC8, IC9","2","LM3671MF-3.3","SOT23-5N","TEXAS INSTRUMENTS","LM3671MF-3.3/NOPB"
"L5","1","IHLP1212AEERR47M11","IHLP-1212AE","VISHAY","IHLP1212AEERR47M11"
"R14, R43, R97, R111","4","470R","0402","VISHAY","CRCW0402470RFKEDC"
"R20, R41","2","22R","0402","VISHAY","CRCW040222R0FKEDC"
"R26, R30, R77, R100, R101, R113, R119","7","100k","0402","VISHAY","CRCW0402100KFKEDHP"
"R31, R32","2","1M","0402","VISHAY","CRCW04021M00FKED"
"R45","1","49R9","0402","VISHAY","CRCW040249R9FKEDC"
"R5, R6, R11, R18, R22, R24, R25, R27, R28, R29, R33, R34, R35, R55, R69, R70, R73, R81, R83, R88","20","2k","0402","VISHAY","CRCW04022K00FKED"
"R85","1","470k","0402","VISHAY","CRCW0402470KFKED"
"C61","1","100p","0402","WALSIN","0402N101J500CT"
"J10","1","68711014522","WE_68711014522_MFG","WURTH ELECTRONIC","68711014522"
"J1","1","685119136923","WE_685119136923","WURTH ELEKTRONIK","685119136923"
"J11","1","632723100011","WE_632723100011","WURTH ELEKTRONIK","632723100011"
"J3","1","7499110124","WE_7499110124","WURTH ELEKTRONIK","7499110124"
"J6","1","68715014522","68715014522","WURTH ELEKTRONIK","68715014522"
"J7","1","68715014022","68715014022","WURTH ELEKTRONIK","68715014022"
"L1","1","7447798720","WE_7447798720","WURTH ELEKTRONIK","7447798720"
"SP1, SP2, SP3, SP4, SP5, SP6","6","9774060151","M2.5-6mm","WURTH ELEKTRONIK","9774060151R"
"SP7","1","9774040151","M2.5-4mm","WURTH ELEKTRONIK","9774040151"
"R38, R40, R128","3","220R","0402","YAGEO","RC0402JR-07220RL"
"R44, R134","2","243k","0402","YAGEO","RC0402FR-07243KL"
"R53, R67, R84, R86","4","200k","0402","YAGEO","RC0402FR-07200KL"
